label,id,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,Theta,Iota,Kappa,Lambda,omikron
0,835864,2615,1205,3,61000,2,15,5,76,5,60069,1,0.03947368421
0,1485185346,2615,1266.5,3,82000,2,15,9,114,1,60047,200,0.02631578947
1,2178142,3661,1235,3,101000,2,11,5,112,3,60013,1,0.02678571429
0,1488334023,3661,1302.5,1,110000,2,11,5,108,4,151002,1,0.009259259259
0,1489154675,3661,1259,1,336000,2,11,9,112,4,60036,1,0.008928571429
0,2421147,2092,1223,3,68000,2,8,-1,112,5,340014,187.0828693,0.02678571429
0,1484086815,2615,1289,3,74000,1,15,5,109,5,60088,223.6067977,0.02752293578
0,1491030822,2092,1250,3,120000,2,8,5,91,5,60064,1,0.03296703297
0,1490987786,2092,,2,69000,2,8,-1,112,4,60048,166.0331292,0.01785714286
0,1489590600,2092,1248.5,3,50000,2,8,-1,100,3,332345,387.2983346,0.03
0,1486423744,3661,1235,3,68000,2,11,5,110,5,450017,187.0828693,0.02727272727
0,1487083011,3661,1314.5,3,150000,2,11,10,113,4,60023,187.0828693,0.02654867257
1,1490837531,2092,1305.5,3,59000,2,8,5,113,4,72004,1,0.02654867257
0,3456237,2092,,2,41000,2,8,5,110,3,60036,164.1858703,0.01818181818
0,1489751614,2092,,2,65000,2,8,9,112,5,72001,206.6615591,0.01785714286
0,1486688638,3661,1293.5,3,149000,2,11,9,84,5,151300,202.4845673,0.03571428571
1,115753,2615,1245.5,3,77000,2,15,5,109,5,151300,244.9489743,0.02752293578
0,1487256268,3661,1340,3,341000,2,11,5,112,5,72001,1,0.02678571429
1,2540238,2092,,2,60000,2,8,9,100,5,151300,172.3223723,0.02
1,3089318,2092,1241,3,60000,2,8,5,115,5,60036,1,0.02608695652
0,1394961,3661,1343,1,157000,2,11,-1,103,5,72000,1,0.009708737864
0,1486878590,3661,1290.5,1,99000,2,11,-1,110,5,450062,200,0.009090909091
1,1488447178,3661,1281.5,1,75000,2,11,5,87,5,72049,1,0.01149425287
0,1489430699,3661,1197.5,3,63000,2,11,-1,93,5,72000,1,0.03225806452
0,1485860566,2615,1220,3,64000,2,15,5,114,4,60033,187.0828693,0.02631578947
0,1484093864,2615,1377.5,3,96000,2,15,5,87,5,60044,207.3644135,0.03448275862
0,1490665758,2092,1214,3,62000,2,8,9,114,4,151300,1,0.02631578947
0,1486387015,3661,,2,83000,2,11,9,85,5,72000,1,0.02352941176
0,2253455,3661,1236.5,1,150000,2,11,9,110,4,450000,212.1320344,0.009090909091
0,3406152,2092,1338.5,3,133000,1,8,5,80,3,151009,187.0828693,0.0375
1,1491258245,2092,1304,3,35000,2,8,9,85,5,60069,1,0.03529411765
0,698223,2615,1365.5,3,77000,2,15,5,109,4,60084,1,0.02752293578
0,1491825875,3661,1226,3,90000,2,11,-1,106,5,450089,200,0.02830188679
0,2490153,2092,1244,3,97000,2,8,5,99,5,60091,164.3167673,0.0303030303
0,1491972420,2092,1239.5,1,72000,1,8,5,89,5,60084,173.2050808,0.01123595506
0,1965559,3661,1250,3,102000,2,11,5,100,3,60050,1,0.03
0,83847,2615,1338.5,3,325000,2,15,5,110,5,60033,316.227766,0.02727272727
0,1487156840,3661,1298,1,110000,2,11,-1,101,5,72001,1,0.009900990099
0,1490130034,2092,1245.5,3,87000,2,8,5,112,5,60033,222.1328431,0.02678571429
0,1484571341,2615,1223,3,81000,2,15,9,112,4,60018,1,0.02678571429
0,1489107558,3661,1211,3,66000,2,11,5,101,4,60015,1,0.0297029703
0,2310589,3661,1247,3,66000,2,11,-1,109,5,60041,1,0.02752293578
0,471171,2615,1353.5,3,143000,2,15,5,110,4,60007,1,0.02727272727
0,1484077911,2615,1356.5,3,198000,2,15,5,90,5,71000,173.2050808,0.03333333333
1,1487266656,3661,1205,3,77000,2,11,-1,85,5,151300,273.8612788,0.03529411765
0,1486769887,3661,1299.5,3,500000,2,11,5,112,4,72000,1,0.02678571429
0,1485463596,2615,,2,116000,2,15,5,110,4,510037,214.8441295,0.01818181818
0,1487320080,3661,1290.5,1,108000,1,11,5,95,5,60064,1,0.01052631579
0,1488546235,3661,1377.5,3,78000,1,11,5,100,3,60017,173.2050808,0.03
0,1756686,3661,,2,74000,2,11,9,85,5,60073,1,0.02352941176
0,2472716,2092,,2,45000,2,8,5,85,4,151307,172.1307642,0.02352941176
0,1485631659,2615,,2,82000,2,15,5,106,5,60058,1,0.01886792453
0,1487505580,3661,1326.5,1,141000,2,11,-1,67,5,60007,1,0.01492537313
0,1492854287,2092,,2,111000,2,8,5,110,4,60091,220.8687393,0.01818181818
0,1492283318,2092,1370,1,273000,2,8,9,110,5,60015,1,0.009090909091
0,1488721718,3661,1235,1,75000,2,11,5,91,5,350092,200,0.01098901099
